rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,sigma_Ab,sigma_1,sigma_2,group
58,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
58,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
59,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
59,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
60,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
60,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
61,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
61,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
62,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
62,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
63,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
63,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
64,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
64,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
65,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
65,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
66,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
66,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
67,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
67,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
68,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
68,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
69,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
69,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
70,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
70,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
71,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
71,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
72,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
72,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
73,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
73,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
74,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
74,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
75,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
75,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
76,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
76,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
77,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
77,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
