rep,id,fM1,theta,group
6,10,2.79437538621334,15.5653808879239,simulationGroup1
6,11,4.36786059647459,17.8274275123167,simulationGroup1
6,12,6.84790628751699,33.2768702566607,simulationGroup1
6,13,7.95643712519288,18.8515101387875,simulationGroup1
6,14,5.95360064653278,31.9179626817066,simulationGroup1
6,15,19.461045097871,64.2702443723487,simulationGroup1
7,1,6.91696174941766,20.9561118199625,simulationGroup1
7,2,5.9738819780207,18.266123809868,simulationGroup1
7,3,5.16497695577478,15.0458024219481,simulationGroup1
7,4,3.05636894195414,14.399521039214,simulationGroup1
7,5,26.5983686501301,9.37062483151554,simulationGroup1
7,6,2.25060570584321,20.905251813925,simulationGroup1
7,7,1.94677030309003,33.3388290932073,simulationGroup1
7,8,2.97685800613885,23.6051660545893,simulationGroup1
7,9,23.2723648848308,36.9074205010472,simulationGroup1
7,10,8.46190083453565,18.7002154338758,simulationGroup1
7,11,6.49080187999874,29.7386318018177,simulationGroup1
7,12,4.72423086672976,19.9041130122907,simulationGroup1
7,13,1.93191875791511,18.3111892167231,simulationGroup1
7,14,34.514297586436,20.4339242499407,simulationGroup1
7,15,9.64176751436557,20.3532841628419,simulationGroup1
8,1,16.0421050366756,24.163026778604,simulationGroup1
8,2,1.6500510104514,12.0512929436369,simulationGroup1
8,3,17.5065283487357,12.5414855655431,simulationGroup1
8,4,2.14410497088228,20.1042350217161,simulationGroup1
8,5,4.87828615415568,12.1264338667775,simulationGroup1
8,6,1.71247870920912,5.61224161344461,simulationGroup1
8,7,6.01521661958283,16.3353508968595,simulationGroup1
8,8,3.64266404827235,8.01714178097131,simulationGroup1
8,9,1.30511698137195,32.4008275087145,simulationGroup1
8,10,5.40630426432182,25.0099491541183,simulationGroup1
8,11,4.50529684367977,22.7754518103534,simulationGroup1
8,12,5.6183240470796,34.1518513705446,simulationGroup1
8,13,6.09077051105456,25.8001551177485,simulationGroup1
8,14,7.60114731427127,25.1852168812448,simulationGroup1
8,15,3.48599710445047,9.71788116268885,simulationGroup1
9,1,4.16376560906438,28.0227575085673,simulationGroup1
9,2,9.75103547059463,10.9683420172816,simulationGroup1
9,3,2.62319831045455,17.3109572997026,simulationGroup1
9,4,4.72412486962381,20.9797287262492,simulationGroup1
9,5,3.7061705235101,20.8259447488793,simulationGroup1
9,6,2.80211762203228,15.2043593770628,simulationGroup1
9,7,5.90365721602118,19.189319943476,simulationGroup1
9,8,2.96534356832202,15.662866248612,simulationGroup1
9,9,1.35673064285531,23.6703645110153,simulationGroup1
9,10,6.77936348440465,16.7530754485152,simulationGroup1
9,11,3.55632033333246,9.98105052236942,simulationGroup1
9,12,8.12461385576704,22.7820908401447,simulationGroup1
9,13,1.07508157942762,8.97587250788979,simulationGroup1
9,14,18.624303889106,5.23994406201701,simulationGroup1
9,15,1.61494071504361,20.008046745754,simulationGroup1
10,1,18.078822911533,15.7248714862376,simulationGroup1
10,2,4.29970281701944,33.5408597353944,simulationGroup1
10,3,4.80323512238723,33.9769348055967,simulationGroup1
10,4,7.81232718006122,13.9498330422528,simulationGroup1
10,5,2.59971374756553,13.7346431623154,simulationGroup1
10,6,13.7386900955532,21.4934705370582,simulationGroup1
10,7,7.09107507999987,22.1698854894807,simulationGroup1
10,8,2.06274098115438,14.1765671231871,simulationGroup1
10,9,3.76094176929365,8.63124206732602,simulationGroup1
10,10,5.90605492678545,42.2168156372723,simulationGroup1
10,11,2.90086059932637,8.91995657399697,simulationGroup1
10,12,4.94635001647409,25.1679495616862,simulationGroup1
10,13,0.886622717731794,12.8465838190822,simulationGroup1
10,14,5.83741291957488,6.22907988789742,simulationGroup1
10,15,2.02500518630994,14.6595324300751,simulationGroup1
11,1,7.10000108505984,20.0081715240746,simulationGroup1
11,2,3.03026228447735,18.8370034140214,simulationGroup1
11,3,6.11819841646215,6.9581154858182,simulationGroup1
11,4,7.21155849137032,35.5419468836556,simulationGroup1
11,5,2.99849526520044,21.6530750313212,simulationGroup1
11,6,11.4300208843493,11.4124823254342,simulationGroup1
11,7,22.2949706004222,22.2229676467109,simulationGroup1
11,8,6.76837267553526,23.5057856274481,simulationGroup1
11,9,13.905686375793,16.2262659969962,simulationGroup1
11,10,5.33253981898319,7.76973302057838,simulationGroup1
11,11,6.96343986089503,15.11215138586,simulationGroup1
11,12,3.57196224566085,8.39537294154901,simulationGroup1
11,13,11.9484482568421,26.2284983236583,simulationGroup1
11,14,20.1412324057729,20.3159014122511,simulationGroup1
11,15,1.7990029958463,7.99987408134773,simulationGroup1
12,1,1.71613515983471,32.7852435187474,simulationGroup1
12,2,3.22590419001483,10.9242235364361,simulationGroup1
12,3,6.84452788535096,16.9351559908133,simulationGroup1
12,4,2.5830736472135,19.5687245163244,simulationGroup1
12,5,8.89215402658145,14.8022408405718,simulationGroup1
12,6,5.96835715788554,7.48208201046575,simulationGroup1
12,7,1.08875465772238,17.4471117907701,simulationGroup1
12,8,8.24380772772172,25.3304883986243,simulationGroup1
12,9,7.82107246754554,9.58653240846939,simulationGroup1
12,10,1.47813592745233,40.478022462629,simulationGroup1
12,11,7.34486869638946,25.0796780437341,simulationGroup1
12,12,3.23251558830024,21.6121838179437,simulationGroup1
12,13,4.35599793902736,6.68883094579594,simulationGroup1
12,14,1.76920712979552,15.6331342726147,simulationGroup1
12,15,7.82515821006746,15.1127947172171,simulationGroup1
13,1,4.24185740349544,20.1643390096815,simulationGroup1
13,2,3.91782754293532,12.2053399885666,simulationGroup1
13,3,4.69835532862658,23.4194203523349,simulationGroup1
13,4,1.72565558182583,21.9843187459197,simulationGroup1
13,5,1.72399417895636,5.33315984673143,simulationGroup1
13,6,4.46905024346243,33.3411805888053,simulationGroup1
13,7,0.5574992725088046,24.6716666067401,simulationGroup1
13,8,7.88125858868779,16.453223688255,simulationGroup1
13,9,6.17311641928747,21.4738529856325,simulationGroup1
13,10,9.188830605907,22.3195326334324,simulationGroup1
13,11,9.27335721137809,44.125938344657,simulationGroup1
13,12,1.6515903808824,43.9173552552822,simulationGroup1
13,13,3.78268734675949,27.0196703126035,simulationGroup1
13,14,7.34522599524825,7.03502312106755,simulationGroup1
13,15,11.1360741040935,15.7841516996063,simulationGroup1
14,1,5.73146969486679,43.6674498835725,simulationGroup1
14,2,11.4909853240335,23.0827141641641,simulationGroup1
14,3,10.8610152835351,16.8950699800055,simulationGroup1
14,4,40.6325663498801,8.43494990741098,simulationGroup1
14,5,1.85253067513435,14.5662292174081,simulationGroup1
14,6,1.0741438782609,23.9680529337853,simulationGroup1
14,7,8.27082161821339,32.0854461402351,simulationGroup1
14,8,4.84592418138209,14.5228379767209,simulationGroup1
14,9,3.96892424000668,34.598944611647,simulationGroup1
14,10,2.86510521102936,10.8248601199668,simulationGroup1
14,11,7.54126484587368,6.86821337444406,simulationGroup1
14,12,2.97590595683905,25.8713482893675,simulationGroup1
14,13,5.60360117889524,17.426017962485,simulationGroup1
14,14,5.75081182190117,15.0908428086959,simulationGroup1
14,15,2.88722975991025,10.843337578448,simulationGroup1
15,1,1.22436900713747,31.6012528348569,simulationGroup1
15,2,6.60185685330625,9.42235018988792,simulationGroup1
15,3,2.72787541433414,14.1854973051016,simulationGroup1
15,4,9.56791774742228,23.9749744746031,simulationGroup1
15,5,6.37909822209889,30.2610634067463,simulationGroup1
15,6,5.0099364695279,33.5399700908336,simulationGroup1
15,7,1.11809495351171,10.9488546542566,simulationGroup1
