rep,fM1_pop,omega_fM1,theta_pop,omega_theta,mu_1_pop,mu_2_pop,mu_3_pop,mu_4_pop,mu_5_pop,omega_mu_1,omega_mu_2,omega_mu_3,omega_mu_4,omega_mu_5,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,sigma_Ab,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,group
107,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
108,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
109,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
110,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
111,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
112,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
113,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
114,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
115,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
116,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
117,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
118,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
119,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
120,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
121,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
122,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
123,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
124,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
125,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
126,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
127,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
128,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
129,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
130,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
131,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
132,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
133,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
134,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
135,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
136,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
137,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
138,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
139,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
140,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
141,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
142,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
143,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
144,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
145,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
146,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
147,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
148,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
149,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
150,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
151,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
152,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
153,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
154,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
155,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
156,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
157,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
158,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
159,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
160,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
161,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
162,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
163,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
164,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
165,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
166,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
167,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
168,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
169,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
170,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
171,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
172,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
173,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
174,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
175,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
176,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
177,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
178,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
179,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
180,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
181,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
182,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
183,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
184,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
185,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
186,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
187,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
188,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
189,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
190,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
191,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
192,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
193,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
194,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
195,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
196,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
197,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
198,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
199,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
200,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
201,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
202,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
203,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
204,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
205,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
206,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
207,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
208,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
209,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
210,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
211,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
212,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
213,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
214,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
215,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
216,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
217,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
218,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
219,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
