rep,fM1_pop,omega_fM1,theta_pop,omega_theta,mu_1_pop,mu_2_pop,mu_3_pop,mu_4_pop,mu_5_pop,omega_mu_1,omega_mu_2,omega_mu_3,omega_mu_4,omega_mu_5,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,sigma_Ab,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,group
79,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
80,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
81,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
82,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
83,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
84,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
85,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
86,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
87,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
88,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
89,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
90,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
91,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
92,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
93,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
94,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
95,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
96,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
97,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
98,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
99,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
100,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
101,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
102,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
103,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
104,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
105,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
106,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
