rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha,k,sigma_Ab,sigma_G1,sigma_G2,group
59,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
60,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
60,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
61,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
61,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
62,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
62,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
63,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
63,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
64,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
64,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
65,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
65,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
66,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
66,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
67,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
67,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
68,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
68,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
69,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
69,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
70,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
70,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
71,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
71,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
72,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
72,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
73,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
73,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
74,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
74,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
75,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
75,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
76,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
76,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
77,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
77,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
78,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
78,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
79,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
79,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
80,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
80,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
81,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
81,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
