rep,fM1_pop,omega_fM1,fM2_pop,omega_fM2,theta_1_pop,omega_theta_1,theta_2_pop,omega_theta_2,delta_V,delta_S,delta_Ab,alpha_1,sigma_Ab,sigma_1,group
89,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
90,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
91,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
92,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
93,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
94,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
95,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
96,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
97,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
98,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
99,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
100,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
